"Deaths caused by Boko Haram in Nigeria 2022, by state",
States most affected by Boko Haram's deadly attacks in Nigeria from 2011 to 2022,
,
Borno,"35,646"
Zamfara,"5,747"
Kaduna,"5,462"
Adamawa,"4,097"
Benue,"3,774"
Plateau,"3,359"
Yobe,"3,176"
