Rate Date,Currency,Rate Year,Rate Month,Buying Rate,Central Rate,Selling Rate
03/08/2018,US DOLLAR,2018,March,304.8,305.3,305.8
03/07/2018,US DOLLAR,2018,March,304.8,305.3,305.8
03/06/2018,US DOLLAR,2018,March,304.8,305.3,305.8
03/05/2018,US DOLLAR,2018,March,304.85,305.35,305.85
03/02/2018,US DOLLAR,2018,February,304.85,305.35,305.85
03/01/2018,US DOLLAR,2018,March,304.85,305.35,305.85
2/28/2018,US DOLLAR,2018,February,304.9,305.4,305.9
2/27/2018,US DOLLAR,2018,February,304.9,305.4,305.9
2/26/2018,US DOLLAR,2018,February,304.95,305.45,305.95
2/23/2018,US DOLLAR,2018,February,304.95,305.45,305.95
2/22/2018,US DOLLAR,2018,February,304.95,305.45,305.95
2/21/2018,US DOLLAR,2018,February,305,305.5,306
2/20/2018,US DOLLAR,2018,February,305,305.5,306
2/19/2018,US DOLLAR,2018,February,305,305.5,306
2/16/2018,US DOLLAR,2018,February,304.95,305.45,305.95
2/15/2018,US DOLLAR,2018,February,304.95,305.45,305.95
2/14/2018,US DOLLAR,2018,February,304.9,305.4,305.9
2/13/2018,US DOLLAR,2018,February,304.9,305.4,305.9
02/12/2018,US DOLLAR,2018,February,304.9,305.4,305.9
02/09/2018,US DOLLAR,2018,February,304.85,305.35,305.85
02/08/2018,US DOLLAR,2018,February,304.85,305.35,305.85
02/07/2018,US DOLLAR,2018,February,304.85,305.35,305.85
02/06/2018,US DOLLAR,2018,February,304.8,305.3,305.8
02/05/2018,US DOLLAR,2018,February,304.8,305.3,305.8
02/02/2018,US DOLLAR,2018,February,304.75,305.25,305.75
02/01/2018,US DOLLAR,2018,February,304.75,305.25,305.75
1/31/2018,US DOLLAR,2018,January,304.7,305.2,305.7
1/30/2018,US DOLLAR,2018,January,304.7,305.2,305.7
1/29/2018,US DOLLAR,2018,January,304.7,305.2,305.7
1/26/2018,US DOLLAR,2018,January,304.65,305.15,305.65
1/25/2018,US DOLLAR,2018,January,304.65,305.15,305.65
1/24/2018,US DOLLAR,2018,January,304.6,305.1,305.6
1/23/2018,US DOLLAR,2018,January,304.65,305.15,305.65
1/22/2018,US DOLLAR,2018,January,304.65,305.15,305.65
1/19/2018,US DOLLAR,2018,January,304.7,305.2,305.7
1/18/2018,US DOLLAR,2018,January,304.7,305.2,305.7
1/17/2018,US DOLLAR,2018,January,304.75,305.25,305.75
1/16/2018,US DOLLAR,2018,January,304.75,305.25,305.75
1/15/2018,US DOLLAR,2018,January,304.8,305.3,305.8
01/12/2018,US DOLLAR,2018,January,304.8,305.3,305.8
01/11/2018,US DOLLAR,2018,January,304.8,305.3,305.8
01/10/2018,US DOLLAR,2018,January,304.85,305.35,305.85
01/09/2018,US DOLLAR,2018,January,304.9,305.4,305.9
01/08/2018,US DOLLAR,2018,January,304.9,305.4,305.9
01/05/2018,US DOLLAR,2018,January,304.95,305.45,305.95
01/04/2018,US DOLLAR,2018,January,304.95,305.45,305.95
01/03/2018,US DOLLAR,2018,January,304.95,305.45,305.95
01/02/2018,US DOLLAR,2018,January,305,305.5,306
12/29/2017,US DOLLAR,2017,December,305,305.5,306
12/28/2017,US DOLLAR,2017,December,305.05,305.55,306.05
12/27/2017,US DOLLAR,2017,December,305.1,305.6,306.1
12/22/2017,US DOLLAR,2017,December,305.15,305.65,306.15
12/21/2017,US DOLLAR,2017,December,305.15,305.65,306.15
12/20/2017,US DOLLAR,2017,December,305.15,305.65,306.15
12/19/2017,US DOLLAR,2017,December,305.2,305.7,306.2
12/18/2017,US DOLLAR,2017,December,305.2,305.7,306.2
12/15/2017,US DOLLAR,2017,December,305.25,305.75,306.25
12/14/2017,US DOLLAR,2017,December,305.25,305.75,306.25
12/13/2017,US DOLLAR,2017,December,305.3,305.8,306.3
12/12/2017,US DOLLAR,2017,December,305.3,305.8,306.3
12/11/2017,US DOLLAR,2017,December,305.35,305.85,306.35
12/08/2017,US DOLLAR,2017,December,305.4,305.9,306.4
12/07/2017,US DOLLAR,2017,December,305.45,305.95,306.45
12/06/2017,US DOLLAR,2017,December,305.5,306,306.5
12/05/2017,US DOLLAR,2017,December,305.85,306.35,306.85
12/04/2017,US DOLLAR,2017,December,306,306.5,307
11/30/2017,US DOLLAR,2017,November,305,305.5,306
11/29/2017,US DOLLAR,2017,November,304.75,305.25,305.75
11/28/2017,US DOLLAR,2018,November,304.8,305.3,305.8
11/27/2017,US DOLLAR,2017,November,304.8,305.3,305.8
11/24/2017,US DOLLAR,2017,November,304.85,305.35,305.85
11/23/2017,US DOLLAR,2017,November,304.85,305.35,305.85
11/22/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/21/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/20/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/17/2017,US DOLLAR,2017,November,304.95,305.45,305.95
11/16/2017,US DOLLAR,2017,November,304.95,305.45,305.95
11/15/2017,US DOLLAR,2017,November,305,305.5,306
11/14/2017,US DOLLAR,2017,November,305,305.5,306
11/13/2017,US DOLLAR,2017,November,305,305.5,306
11/10/2017,US DOLLAR,2017,November,304.95,305.45,305.95
11/09/2017,US DOLLAR,2017,November,304.95,305.45,305.95
11/08/2017,US DOLLAR,2017,November,304.95,305.45,305.95
11/07/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/06/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/03/2017,US DOLLAR,2017,November,304.9,305.4,305.9
11/02/2017,US DOLLAR,2017,November,304.85,305.35,305.85
11/01/2017,US DOLLAR,2017,November,304.85,305.35,305.85
10/31/2017,US DOLLAR,2017,October,304.8,305.3,305.8
10/30/2017,US DOLLAR,2017,October,304.8,305.3,305.8
10/27/2017,US DOLLAR,2017,October,304.75,305.25,305.75
10/26/2017,US DOLLAR,2017,October,304.75,305.25,305.75
10/25/2017,US DOLLAR,2017,October,304.7,305.2,305.7
10/24/2017,US DOLLAR,2017,October,304.7,305.2,305.7
10/23/2017,US DOLLAR,2017,October,304.65,305.15,305.65
10/20/2017,US DOLLAR,2017,October,304.65,305.15,305.65
10/19/2017,US DOLLAR,2017,October,304.6,305.1,305.6
10/18/2017,US DOLLAR,2017,October,304.6,305.1,305.6
10/17/2017,US DOLLAR,2017,October,304.55,305.05,305.55
10/16/2017,US DOLLAR,2017,October,304.55,305.05,305.55
10/13/2017,US DOLLAR,2017,October,304,304.5,305
10/12/2017,US DOLLAR,2017,October,304.55,305.05,305.55
10/11/2017,US DOLLAR,2017,October,304.55,305.05,305.55
10/10/2017,US DOLLAR,2017,October,304.6,305.1,305.6
10/09/2017,US DOLLAR,2017,October,304.6,305.1,305.6
10/06/2017,US DOLLAR,2017,October,304.65,305.15,305.65
10/05/2017,US DOLLAR,2017,October,304.65,305.15,305.65
10/04/2017,US DOLLAR,2017,October,304.7,305.2,305.7
10/03/2017,US DOLLAR,2017,October,304.7,305.2,305.7
9/29/2017,US DOLLAR,2017,September,304.75,305.25,305.75
9/28/2017,US DOLLAR,2017,September,304.75,305.25,305.75
9/27/2017,US DOLLAR,2017,September,304.8,305.3,305.8
9/26/2017,US DOLLAR,2017,September,304.8,305.3,305.8
9/25/2017,US DOLLAR,2017,September,304.8,305.3,305.8
9/22/2017,US DOLLAR,2017,September,304.85,305.35,305.85
9/21/2017,US DOLLAR,2017,September,304.85,305.35,305.85
9/20/2017,US DOLLAR,2017,September,304.85,305.35,305.85
9/19/2017,US DOLLAR,2017,September,304.9,305.4,305.9
9/18/2017,US DOLLAR,2017,September,304.9,305.4,305.9
9/15/2017,US DOLLAR,2017,September,304.95,305.45,305.95
9/14/2017,US DOLLAR,2017,September,304.95,305.45,305.95
9/13/2017,US DOLLAR,2017,September,305,305.5,306
09/12/2017,US DOLLAR,2017,September,305,305.5,306
09/11/2017,US DOLLAR,2017,September,305,305.5,306
09/08/2017,US DOLLAR,2017,September,304.95,305.45,305.95
09/07/2017,US DOLLAR,2017,September,304.95,305.45,305.95
09/06/2017,US DOLLAR,2017,September,304.9,305.4,305.9
09/05/2017,US DOLLAR,2017,September,304.9,305.4,305.9
8/31/2017,US DOLLAR,2017,August,304.85,305.35,305.85
8/30/2017,US DOLLAR,2017,August,304.85,305.35,305.85
8/29/2017,US DOLLAR,2017,August,304.85,305.35,305.85
8/28/2017,US DOLLAR,2017,August,304.8,305.3,305.8
8/25/2017,US DOLLAR,2017,August,304.8,305.3,305.8
8/24/2017,US DOLLAR,2017,August,304.75,305.25,305.75
8/23/2017,US DOLLAR,2017,August,304.75,305.25,305.75
8/22/2017,US DOLLAR,2017,August,304.75,305.25,305.75
8/21/2017,US DOLLAR,2017,August,304.7,305.2,305.7
8/18/2017,US DOLLAR,2017,August,304.7,305.2,305.7
8/17/2017,US DOLLAR,2017,August,304.65,305.15,305.65
8/16/2017,US DOLLAR,2017,August,304.65,305.15,305.65
8/15/2017,US DOLLAR,2017,August,304.65,305.15,305.65
8/14/2017,US DOLLAR,2017,August,304.6,305.1,305.6
08/11/2017,US DOLLAR,2017,August,304.6,305.1,305.6
08/10/2017,US DOLLAR,2017,August,304.55,305.05,305.55
08/09/2017,US DOLLAR,2017,August,304.55,305.05,305.55
08/08/2017,US DOLLAR,2017,August,304.5,305,305.5
08/07/2017,US DOLLAR,2017,August,304.5,305,305.5
08/04/2017,US DOLLAR,2017,August,304.55,305.05,305.55
08/03/2017,US DOLLAR,2017,August,304.55,305.05,305.55
08/02/2017,US DOLLAR,2017,August,304.6,305.1,305.6
08/01/2017,US DOLLAR,2017,August,304.6,305.1,305.6
7/31/2017,US DOLLAR,2017,July,304.65,305.15,305.65
7/28/2017,US DOLLAR,2017,July,304.65,305.15,305.65
7/27/2017,US DOLLAR,2017,July,304.7,305.2,305.7
7/26/2017,US DOLLAR,2017,July,304.7,305.2,305.7
7/25/2017,US DOLLAR,2017,July,304.75,305.25,305.75
7/24/2017,US DOLLAR,2017,July,304.75,305.25,305.75
7/21/2017,US DOLLAR,2017,July,304.8,305.3,305.8
7/20/2017,US DOLLAR,2017,July,304.8,305.3,305.8
7/19/2017,US DOLLAR,2017,July,304.85,305.35,305.85
7/18/2017,US DOLLAR,2017,July,304.85,305.35,305.85
7/17/2017,US DOLLAR,2017,July,304.9,305.4,305.9
7/14/2017,US DOLLAR,2017,July,304.9,305.4,305.9
7/13/2017,US DOLLAR,2017,July,304.95,305.45,305.95
07/12/2017,US DOLLAR,2017,July,304.95,305.45,305.95
07/11/2017,US DOLLAR,2017,July,305,305.5,306
07/10/2017,US DOLLAR,2017,July,305,305.5,306
07/07/2017,US DOLLAR,2017,July,305,305.5,306
07/06/2017,US DOLLAR,2017,July,305,305.5,306
07/05/2017,US DOLLAR,2017,July,305,305.5,306
07/04/2017,US DOLLAR,2017,July,304.95,305.45,305.95
07/03/2017,US DOLLAR,2017,July,304.95,305.45,305.95
6/30/2017,US DOLLAR,2017,June,304.9,305.4,305.9
6/29/2017,US DOLLAR,2017,June,304.9,305.4,305.9
6/28/2017,US DOLLAR,2017,June,304.9,305.4,305.9
6/23/2017,US DOLLAR,2017,June,304.85,305.35,305.85
6/22/2017,US DOLLAR,2017,June,304.85,305.35,305.85
6/21/2017,US DOLLAR,2017,June,304.85,305.35,305.85
6/20/2017,US DOLLAR,2017,June,304.8,305.3,305.8
6/19/2017,US DOLLAR,2017,June,304.8,305.3,305.8
6/16/2017,US DOLLAR,2017,June,304.75,305.25,305.75
6/15/2017,US DOLLAR,2017,June,304.75,305.25,305.75
6/14/2017,US DOLLAR,2017,June,304.7,305.2,305.7
6/13/2017,US DOLLAR,2017,June,304.7,305.2,305.7
06/12/2017,US DOLLAR,2017,June,304.65,305.15,305.65
06/09/2017,US DOLLAR,2017,June,304.6,305.1,305.6
06/08/2017,US DOLLAR,2017,June,304.6,305.1,305.6
06/07/2017,US DOLLAR,2017,June,304.6,305.1,305.6
06/06/2017,US DOLLAR,2017,June,304.55,305.05,305.55
06/05/2017,US DOLLAR,2017,June,304.55,305.05,305.55
06/02/2017,US DOLLAR,2017,June,304.5,305,305.5
06/01/2017,US DOLLAR,2017,June,304.45,304.95,305.45
5/31/2017,US DOLLAR,2017,May,304.4,304.9,305.4
5/30/2017,US DOLLAR,2017,May,304.4,304.9,305.4
5/26/2017,US DOLLAR,2017,May,304.35,304.85,305.35
5/25/2017,US DOLLAR,2015,May,304.4,304.9,305.4
5/24/2017,US DOLLAR,2017,May,304.4,304.9,305.4
5/23/2017,US DOLLAR,2017,May,304.4,304.9,305.4
5/22/2017,US DOLLAR,2017,May,304.45,304.95,305.45
5/19/2017,US DOLLAR,2017,May,304.45,304.95,305.45
5/18/2017,US DOLLAR,2017,May,304.45,304.95,305.45
5/17/2017,US DOLLAR,2017,May,304.45,304.95,305.45
5/16/2017,US DOLLAR,2016,May,304.45,304.95,305.45
5/15/2017,US DOLLAR,2017,May,304.6,305.1,305.6
05/12/2017,US DOLLAR,2017,May,304.6,305.1,305.6
05/11/2017,US DOLLAR,2017,May,304.6,305.1,305.6
05/10/2017,US DOLLAR,2017,May,304.6,305.1,305.6
05/09/2017,US DOLLAR,2017,May,304.65,305.15,305.65
05/08/2017,US DOLLAR,2017,May,304.7,305.2,305.7
05/05/2017,US DOLLAR,2017,May,304.7,305.2,305.7
05/04/2017,US DOLLAR,2017,May,304.7,305.2,305.7
05/03/2017,US DOLLAR,2017,May,304.75,305.25,305.75
05/02/2017,US DOLLAR,2017,May,304.8,305.3,305.8
4/28/2017,US DOLLAR,2017,April,304.85,305.35,305.85
4/27/2017,US DOLLAR,2017,April,304.85,305.35,305.85
4/26/2017,US DOLLAR,2017,April,304.9,305.4,305.9
4/25/2017,US DOLLAR,2017,April,304.9,305.4,305.9
4/24/2017,US DOLLAR,2017,April,304.95,305.45,305.95
4/21/2017,US DOLLAR,2017,April,305,305.5,306
4/20/2017,US DOLLAR,2017,April,305,305.5,306
4/19/2017,US DOLLAR,2017,April,305,305.5,306
4/18/2017,US DOLLAR,2017,April,305,305.5,306
4/13/2017,US DOLLAR,2017,April,305.05,305.55,306.05
04/12/2017,US DOLLAR,2017,April,305.1,305.6,306.1
04/11/2017,US DOLLAR,2017,April,305.1,305.6,306.1
04/10/2017,US DOLLAR,2017,April,305.15,305.65,306.15
04/07/2017,US DOLLAR,2017,April,305.15,305.65,306.15
04/06/2017,US DOLLAR,2017,April,305.2,305.7,306.2
04/05/2017,US DOLLAR,2017,April,305.2,305.7,306.2
04/04/2017,US DOLLAR,2017,April,305.25,305.75,306.25
04/03/2017,US DOLLAR,2017,April,305.3,305.8,306.3
3/31/2017,US DOLLAR,2017,March,305.35,305.85,306.35
3/30/2017,US DOLLAR,2017,March,305.4,305.9,306.4
3/29/2017,US DOLLAR,2017,March,305.5,306,306.5
3/28/2017,US DOLLAR,2017,March,305.65,306.15,306.65
3/27/2017,US DOLLAR,2017,March,305.8,306.3,306.8
3/24/2017,US DOLLAR,2017,March,306,306.5,307
3/23/2017,US DOLLAR,2017,March,307,307.5,308
3/22/2017,US DOLLAR,2017,March,306.75,307.25,307.75
3/21/2017,US DOLLAR,2017,March,306.5,307,307.5
3/20/2017,US DOLLAR,2017,March,306.5,307,307.5
3/17/2017,US DOLLAR,2017,March,306,306.5,307
3/16/2017,US DOLLAR,2017,March,305.75,306.25,306.75
3/15/2017,US DOLLAR,2017,March,305.5,306,306.5
3/14/2017,US DOLLAR,2017,March,305.25,305.75,306.25
3/13/2017,US DOLLAR,2017,March,305,305.5,306
03/10/2017,US DOLLAR,2017,March,304.8,305.3,305.8
03/09/2017,US DOLLAR,2017,March,304.8,305.3,305.8
03/08/2017,US DOLLAR,2017,March,304.7,305.2,305.7
03/07/2017,US DOLLAR,2017,March,304.75,305.25,305.75
03/06/2017,US DOLLAR,2017,March,304.5,305,305.5
03/03/2017,US DOLLAR,2017,March,304.25,304.75,305.25
03/02/2017,US DOLLAR,2017,March,304.25,304.75,305.25
03/01/2017,US DOLLAR,2017,March,304.25,304.75,305.25
2/28/2017,US DOLLAR,2017,February,304.5,305,305.5
2/27/2017,US DOLLAR,2017,February,304.5,305,305.5
2/24/2017,US DOLLAR,2017,February,304.5,305,305.5
2/23/2017,US DOLLAR,2017,February,304.5,305,305.5
2/22/2017,US DOLLAR,2017,February,304.25,304.75,305.25
2/21/2017,US DOLLAR,2017,February,304.25,304.75,305.25
2/20/2017,US DOLLAR,2017,February,304.25,304.75,305.25
2/17/2017,US DOLLAR,2017,February,304.5,305,305.5
2/16/2017,US DOLLAR,2017,February,304.5,305,305.5
2/15/2017,US DOLLAR,2017,February,304.5,305,305.5
2/14/2017,US DOLLAR,2017,February,304.5,305,305.5
2/13/2017,US DOLLAR,2017,February,304,304.5,305
02/10/2017,US DOLLAR,2017,February,304,304.5,305
02/09/2017,US DOLLAR,2017,February,304,304.5,305
02/08/2017,US DOLLAR,2017,February,304.25,304.75,305.25
02/07/2017,US DOLLAR,2017,February,304.25,304.75,305.25
02/06/2017,US DOLLAR,2017,February,304.25,304.75,305.25
02/03/2017,US DOLLAR,2017,February,304.25,304.75,305.25
02/02/2017,US DOLLAR,2017,February,304.25,304.75,305.25
02/01/2017,US DOLLAR,2017,February,304.25,304.75,305.25
1/31/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/30/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/27/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/26/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/25/2017,US DOLLAR,2017,January,304.5,305,305.5
1/24/2017,US DOLLAR,2017,January,304.5,305,305.5
1/23/2017,US DOLLAR,2017,January,304.5,305,305.5
1/20/2017,US DOLLAR,2017,January,304.5,305,305.5
1/19/2017,US DOLLAR,2017,January,304.5,305,305.5
1/18/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/17/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/16/2017,US DOLLAR,2017,January,304.25,304.75,305.25
1/13/2017,US DOLLAR,2017,January,304,304.5,305
01/12/2017,US DOLLAR,2017,January,304,304.5,305
01/11/2017,US DOLLAR,2017,January,304,304.5,305
01/10/2017,US DOLLAR,2017,January,304,304.5,305
01/09/2017,US DOLLAR,2017,January,304,304.5,305
01/06/2017,US DOLLAR,2017,January,304,304.5,305
01/05/2017,US DOLLAR,2017,January,304,304.5,305
01/04/2017,US DOLLAR,2017,January,304,304.5,305
01/03/2017,US DOLLAR,2017,January,304,304.5,305
12/30/2016,US DOLLAR,2016,December,304,304.5,305
12/29/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/28/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/23/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/22/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/21/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/20/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/19/2016,US DOLLAR,2016,December,304.25,304.75,305.25
12/16/2016,US DOLLAR,2016,December,304,304.5,305
12/15/2016,US DOLLAR,2016,December,304,304.5,305
12/14/2016,US DOLLAR,2016,December,304,304.5,305
12/13/2016,US DOLLAR,2016,December,304,304.5,305
12/09/2016,US DOLLAR,2016,December,304.5,305,305.5
12/08/2016,US DOLLAR,2016,December,304.5,305,305.5
12/07/2016,US DOLLAR,2016,December,304.5,305,305.5
12/06/2016,US DOLLAR,2016,December,304.5,305,305.5
12/05/2016,US DOLLAR,2016,December,304.5,305,305.5
12/02/2016,US DOLLAR,2016,December,304,304.5,305
12/01/2016,US DOLLAR,2016,December,304,304.5,305
11/30/2016,US DOLLAR,2016,November,304,304.5,305
11/29/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/28/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/25/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/24/2016,US DOLLAR,2016,November,304,304.5,305
11/23/2016,US DOLLAR,2016,November,304,304.5,305
11/22/2016,US DOLLAR,2016,November,304,304.5,305
11/21/2016,US DOLLAR,2016,November,304,304.5,305
11/18/2016,US DOLLAR,2016,November,304.5,305,305.5
11/17/2016,US DOLLAR,2016,November,304.5,305,305.5
11/16/2016,US DOLLAR,2016,November,304.5,305,305.5
11/15/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/14/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/11/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/10/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/09/2016,US DOLLAR,2016,November,304,304.5,305
11/08/2016,US DOLLAR,2016,November,304,304.5,305
11/07/2016,US DOLLAR,2016,November,304,304.5,305
11/04/2016,US DOLLAR,2016,November,304,304.5,305
11/03/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/02/2016,US DOLLAR,2016,November,304.25,304.75,305.25
11/01/2016,US DOLLAR,2016,November,304.25,304.75,305.25
10/31/2016,US DOLLAR,2016,October,304,304.5,305
10/28/2016,US DOLLAR,2016,October,304,304.5,305
10/27/2016,US DOLLAR,2016,October,304.5,305,305.5
10/26/2016,US DOLLAR,2016,October,304.5,305,305.5
10/25/2016,US DOLLAR,2016,October,304.5,305,305.5
10/24/2016,US DOLLAR,2016,October,304.5,305,305.5
10/21/2016,US DOLLAR,2016,October,304.25,304.75,305.25
10/20/2016,US DOLLAR,2016,October,304.25,304.75,305.25
10/19/2016,US DOLLAR,2016,October,304.25,304.75,305.25
10/18/2016,US DOLLAR,2016,October,304.5,305,305.5
10/17/2016,US DOLLAR,2016,October,304.5,305,305.5
10/14/2016,US DOLLAR,2016,October,304,304.5,305
10/13/2016,US DOLLAR,2016,October,304,304.5,305
10/12/2016,US DOLLAR,2016,October,304,304.5,305
10/11/2016,US DOLLAR,2016,October,304.25,304.75,305.25
10/10/2016,US DOLLAR,2016,October,304.25,304.75,305.25
10/07/2016,US DOLLAR,2016,October,304,304.5,305
10/06/2016,US DOLLAR,2016,October,304,304.5,305
10/05/2016,US DOLLAR,2016,October,304,304.5,305
10/04/2016,US DOLLAR,2016,October,304,304.5,305
9/30/2016,US DOLLAR,2016,September,304.25,304.75,305.25
9/29/2016,US DOLLAR,2016,September,304.25,304.75,305.25
9/28/2016,US DOLLAR,2016,September,304.5,305,305.5
9/27/2016,US DOLLAR,2016,September,304.5,305,305.5
9/26/2016,US DOLLAR,2016,September,304,304.5,305
9/23/2016,US DOLLAR,2016,September,304,304.5,305
9/22/2016,US DOLLAR,2016,September,304.5,305,305.5
9/21/2016,US DOLLAR,2016,September,304,304.5,305
9/20/2016,US DOLLAR,2016,September,304,304.5,305
9/19/2016,US DOLLAR,2016,September,304,304.5,305
9/16/2016,US DOLLAR,2016,September,304.5,305,305.5
9/15/2016,US DOLLAR,2016,September,304,304.5,305
9/14/2016,US DOLLAR,2016,September,304.5,305,305.5
09/09/2016,US DOLLAR,2016,September,304,304.5,305
09/08/2016,US DOLLAR,2016,September,304.5,305,305.5
09/07/2016,US DOLLAR,2016,September,304,304.5,305
09/06/2016,US DOLLAR,2016,September,304.5,305,305.5
09/05/2016,US DOLLAR,2016,September,304.5,305,305.5
09/02/2016,US DOLLAR,2016,September,304,304.5,305
09/01/2016,US DOLLAR,2016,September,304,304.5,305
8/31/2016,US DOLLAR,2016,August,305,305.5,306
8/30/2016,US DOLLAR,2016,August,304.5,305,305.5
8/29/2016,US DOLLAR,2016,August,304.5,305,305.5
8/26/2016,US DOLLAR,2016,August,304,304.5,305
8/25/2016,US DOLLAR,2016,August,304,304.5,305
8/24/2016,US DOLLAR,2016,August,304.5,305,305.5
8/23/2016,US DOLLAR,2016,August,304.5,305,305.5
8/22/2016,US DOLLAR,2016,August,304.5,305,305.5
8/19/2016,US DOLLAR,2016,August,307,307.5,308
8/18/2016,US DOLLAR,2016,August,324,324.5,325
8/17/2016,US DOLLAR,2016,August,308,308.5,309
8/16/2016,US DOLLAR,2016,August,308.8,309.3,309.8
8/15/2016,US DOLLAR,2016,August,309,309.5,310
08/12/2016,US DOLLAR,2016,August,309,309.5,310
08/11/2016,US DOLLAR,2016,August,309,309.5,310
08/10/2016,US DOLLAR,2016,August,319,319.5,320
08/09/2016,US DOLLAR,2016,August,309.5,310,310.5
08/08/2016,US DOLLAR,2016,August,310,310.5,311
08/05/2016,US DOLLAR,2016,August,310,310.5,311
08/04/2016,US DOLLAR,2016,August,309,309.5,310
08/03/2016,US DOLLAR,2016,August,309,309.5,310
08/02/2016,US DOLLAR,2016,August,309.5,310,310.5
08/01/2016,US DOLLAR,2016,August,314.5,315,315.5
7/29/2016,US DOLLAR,2016,July,312,312.5,313
7/28/2016,US DOLLAR,2016,July,310.35,310.85,311.35
7/27/2016,US DOLLAR,2016,July,315,315.5,316
7/26/2016,US DOLLAR,2016,July,311,311.5,312
7/25/2016,US DOLLAR,2016,July,309,309.5,310
7/22/2016,US DOLLAR,2016,July,299,299.5,300
7/21/2016,US DOLLAR,2016,July,291.4,291.9,292.4
7/20/2016,US DOLLAR,2016,July,291.9,292.4,292.9
7/19/2016,US DOLLAR,2016,July,291.9,292.4,292.9
7/18/2016,US DOLLAR,2016,July,291,291.5,292
7/15/2016,US DOLLAR,2016,July,289,289.5,290
7/14/2016,US DOLLAR,2016,July,283,283.5,284
7/13/2016,US DOLLAR,2016,July,282.75,283.25,283.75
07/12/2016,US DOLLAR,2016,July,282.25,282.75,283.25
07/11/2016,US DOLLAR,2016,July,281.5,282,282.5
07/08/2016,US DOLLAR,2016,July,281,281.5,282
07/04/2016,US DOLLAR,2016,July,281,281.5,282
07/01/2016,US DOLLAR,2016,July,281.25,281.75,282.25
6/30/2016,US DOLLAR,2016,June,282,282.5,283
6/29/2016,US DOLLAR,2016,June,281.75,282.25,282.75
6/28/2016,US DOLLAR,2016,June,281.5,282,282.5
6/27/2016,US DOLLAR,2016,June,281,281.5,282
6/24/2016,US DOLLAR,2016,June,280,280.5,281
6/23/2016,US DOLLAR,2016,June,280,280.5,281
6/22/2016,US DOLLAR,2016,June,280.5,281,281.5
6/21/2016,US DOLLAR,2016,June,283,283.5,284
6/20/2016,US DOLLAR,2016,June,279,279.5,280
6/17/2016,US DOLLAR,2016,June,196,196.5,197
6/16/2016,US DOLLAR,2016,June,196,196.5,197
6/15/2016,US DOLLAR,2016,June,196,196.5,197
6/14/2016,US DOLLAR,2016,June,196,196.5,197
6/13/2016,US DOLLAR,2016,June,196,196.5,197
06/10/2016,US DOLLAR,2016,June,196,196.5,197
06/09/2016,US DOLLAR,2016,June,196,196.5,197
06/08/2016,US DOLLAR,2016,June,196,196.5,197
06/07/2016,US DOLLAR,2016,June,196,196.5,197
06/06/2016,US DOLLAR,2016,June,196,196.5,197
06/03/2016,US DOLLAR,2016,June,196,196.5,197
06/02/2016,US DOLLAR,2016,June,196,196.5,197
06/01/2016,US DOLLAR,2016,June,196,196.5,197
5/31/2016,US DOLLAR,2016,May,196,196.5,197
5/27/2016,US DOLLAR,2016,May,196,196.5,197
5/26/2016,US DOLLAR,2016,May,196,196.5,197
5/25/2016,US DOLLAR,2016,May,196,196.5,197
5/24/2016,US DOLLAR,2016,May,196,196.5,197
5/23/2016,US DOLLAR,2016,May,196,196.5,197
5/20/2016,US DOLLAR,2016,May,196,196.5,197
5/19/2016,US DOLLAR,2016,May,196,196.5,197
5/18/2016,US DOLLAR,2016,May,196,196.5,197
5/17/2016,US DOLLAR,2016,May,196,196.5,197
5/16/2016,US DOLLAR,2016,May,196,196.5,197
5/13/2016,US DOLLAR,2016,May,196,196.5,197
05/12/2016,US DOLLAR,2016,May,196,196.5,197
05/11/2016,US DOLLAR,2016,May,196,196.5,197
05/10/2016,US DOLLAR,2016,May,196,196.5,197
05/09/2016,US DOLLAR,2016,May,196,196.5,197
05/06/2016,US DOLLAR,2016,May,196,196.5,197
